"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"426","Jeanmar Gomez",430947,"SI|SI","In play, out(s)","102.7","-9.47"
"428","Jeanmar Gomez",542255,"SI|SL","In play, no out","90.3","13.14"
"432","Jeanmar Gomez",489232,"SL|SI","Called Strike","null","null"
"434","Jeanmar Gomez",489232,"SI|SI","Foul","null","null"
"437","Jeanmar Gomez",493596,"SI|SI","In play, run(s)","102.2","2.47"
"439","Jeanmar Gomez",493596,"FF|SI","Called Strike","null","null"
"440","Jeanmar Gomez",493596,"SI|SI","Called Strike","null","null"
"442","Jeanmar Gomez",607054,"SL|SI","Called Strike","null","null"
"443","Jeanmar Gomez",607054,"SI|CH","Swinging Strike","null","null"
"445","Jeanmar Gomez",607054,"SI|CH","Foul","null","null"
"446","Jeanmar Gomez",607054,"CH|SI","Foul","null","null"
"447","Jeanmar Gomez",607054,"SI|SI","Called Strike","null","null"
"449","Jeanmar Gomez",592663,"SI|SL","Foul","null","null"
"450","Jeanmar Gomez",592663,"SL|SI","Foul","null","null"
"453","Jeanmar Gomez",592663,"CH|SI","Foul","null","null"
"454","Jeanmar Gomez",592663,"SI|SI","In play, out(s)","52.6","39.84"
"456","Jeanmar Gomez",445988,"SI|SI","Called Strike","null","null"
"461","Jeanmar Gomez",592885,"SI|SI","Called Strike","null","null"
"462","Jeanmar Gomez",592885,"SI|SI","In play, out(s)","84.5","-39.66"
"464","Jeanmar Gomez",445988,"CH|CH","In play, out(s)","99","-4.5"
"465","Jeanmar Gomez",445988,"CH|SI","Called Strike","null","null"
"467","Jeanmar Gomez",592885,"SI|SL","Foul","null","null"
"468","Jeanmar Gomez",592885,"SL|SI","In play, out(s)","74.7","-14.37"
"469","Jeanmar Gomez",592885,"SI|SI","Called Strike","null","null"
"470","Jeanmar Gomez",592885,"SI|SI","Called Strike","null","null"
"473","Jeanmar Gomez",519317,"SI|SI","Called Strike","null","null"
"475","Jeanmar Gomez",519317,"SI|SI","Foul","null","null"
"476","Jeanmar Gomez",519317,"SI|SI","Swinging Strike","null","null"
"479","Jeanmar Gomez",542303,"CH|SI","In play, no out","96.5","11.83"
"480","Jeanmar Gomez",542303,"SI|CH","Foul","null","null"
"484","Jeanmar Gomez",453400,"SI|SI","Foul","null","null"
"486","Jeanmar Gomez",453400,"SI|SI","In play, out(s)","61.3","-27.22"
"488","Jeanmar Gomez",453400,"CH|SI","Foul","null","null"
"490","Jeanmar Gomez",445988,"SI|SI","Called Strike","null","null"
"491","Jeanmar Gomez",445988,"SI|CH","Called Strike","null","null"
"496","Jeanmar Gomez",519317,"SI|SI","Called Strike","null","null"
"499","Jeanmar Gomez",400085,"CH|SI","In play, out(s)","91.7","-13.81"
"500","Jeanmar Gomez",400085,"SI|SI","Called Strike","null","null"
"506","Jeanmar Gomez",542303,"CH|SI","In play, run(s)","80.1","18.58"
"509","Jeanmar Gomez",607043,"SI|SI","Foul","null","null"
"512","Jeanmar Gomez",607043,"SI|SI","In play, out(s)","86.6","42.23"
"515","Jeanmar Gomez",501571,"SI|FF","Called Strike","null","null"
"516","Jeanmar Gomez",501571,"FF|SI","Called Strike","null","null"
"518","Jeanmar Gomez",457477,"SL|CH","In play, out(s)","89.3","20.3"
"520","Jeanmar Gomez",518934,"SI|SI","In play, out(s)","66.8","34.12"
"521","Jeanmar Gomez",518934,"SI|CH","Called Strike","null","null"
"525","Jeanmar Gomez",571448,"SI|CH","In play, no out","96.2","-11.83"
"526","Jeanmar Gomez",571448,"CH|SI","Called Strike","null","null"
"528","Jeanmar Gomez",471865,"SI|SI","Called Strike","null","null"
"529","Jeanmar Gomez",471865,"SI|SI","In play, out(s)","104.2","-18.95"
"532","Jeanmar Gomez",596115,"CH|SI","Foul","null","null"
"535","Jeanmar Gomez",596115,"SI|SI","Called Strike","null","null"
"537","Jeanmar Gomez",488818,"SL|SL","Swinging Strike","null","null"
"538","Jeanmar Gomez",488818,"SL|SI","Called Strike","null","null"
"539","Jeanmar Gomez",488818,"SI|SL","In play, out(s)","71.8","-2.89"
"542","Jeanmar Gomez",607054,"SI|SI","In play, out(s)","101.1","-5.22"
"544","Jeanmar Gomez",542255,"SI|SI","In play, out(s)","82.9","-17.7"
"551","Jeanmar Gomez",460077,"SI|SI","Foul","null","null"
"552","Jeanmar Gomez",460077,"SI|SL","Swinging Strike (Blocked)","null","null"
"553","Jeanmar Gomez",460077,"SL|SL","Swinging Strike","null","null"
"554","Jeanmar Gomez",460077,"SL|SI","Foul","null","null"
"556","Jeanmar Gomez",518568,"SI|SL","Called Strike","null","null"
"559","Jeanmar Gomez",449181,"SI|SI","Called Strike","null","null"
"561","Jeanmar Gomez",449181,"SI|SI","In play, out(s)","88.9","-15.66"
"563","Jeanmar Gomez",444876,"SL|SL","Swinging Strike","null","null"
"564","Jeanmar Gomez",444876,"SL|CH","In play, no out","68.4","16.19"
"567","Jeanmar Gomez",444876,"SI|SI","In play, out(s)","64.5","-49.9"
"568","Jeanmar Gomez",444876,"SI|SI","Called Strike","null","null"
"570","Jeanmar Gomez",444876,"CH|SI","Called Strike","null","null"
"573","Jeanmar Gomez",596144,"SI|SI","In play, out(s)","100","15.84"
"574","Jeanmar Gomez",596144,"SI|SI","Called Strike","null","null"
"577","Jeanmar Gomez",518568,"SI|CH","In play, out(s)","84.9","39.37"
"580","Jeanmar Gomez",543302,"CH|SI","Foul","null","null"
"583","Jeanmar Gomez",571875,"CH|CH","Foul","null","null"
"585","Jeanmar Gomez",592273,"SI|SI","Foul","null","null"
"586","Jeanmar Gomez",592273,"SI|CH","In play, out(s)","null","null"
"589","Jeanmar Gomez",592273,"CH|SI","Foul","null","null"
