"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"542","Ross Ohlendorf",450314,"CH|CH","In play, out(s)","99.8","17.04"
"545","Ross Ohlendorf",518792,"FF|FF","In play, out(s)","80.5","43.29"
"548","Ross Ohlendorf",592178,"SL|CH","Foul","null","null"
"549","Ross Ohlendorf",592178,"CH|FF","In play, run(s)","105.1","35.34"
"553","Ross Ohlendorf",575929,"SL|FF","Foul","null","null"
"554","Ross Ohlendorf",575929,"FF|SL","Swinging Strike (Blocked)","null","null"
"557","Ross Ohlendorf",608365,"FF|FF","Called Strike","null","null"
"558","Ross Ohlendorf",608365,"FF|FF","In play, out(s)","96.3","34.56"
"561","Ross Ohlendorf",571976,"FF|FF","Foul","null","null"
"562","Ross Ohlendorf",571976,"FF|CH","Called Strike","null","null"
"566","Ross Ohlendorf",461314,"SL|FT","Called Strike","null","null"
"567","Ross Ohlendorf",461314,"FT|FF","Foul","null","null"
"568","Ross Ohlendorf",461314,"FF|SL","Swinging Strike (Blocked)","null","null"
"571","Ross Ohlendorf",500208,"FT|CH","Foul","null","null"
"573","Ross Ohlendorf",500208,"CH|CH","Called Strike","null","null"
"576","Ross Ohlendorf",500208,"FF|FF","Foul","null","null"
"589","Ross Ohlendorf",571976,"FF|PO","Pitchout","null","null"
"590","Ross Ohlendorf",571976,"PO|FF","Called Strike","null","null"
"593","Ross Ohlendorf",461314,"SL|CH","Called Strike","null","null"
"594","Ross Ohlendorf",461314,"CH|SL","Swinging Strike","null","null"
"596","Ross Ohlendorf",493351,"FF|FF","Foul","null","null"
"598","Ross Ohlendorf",608671,"FF|FF","In play, run(s)","66","31.75"
"602","Ross Ohlendorf",489267,"FF|FF","Called Strike","null","null"
"604","Ross Ohlendorf",477165,"FF|CH","In play, out(s)","105.1","57.13"
"605","Ross Ohlendorf",477165,"CH|FF","Called Strike","null","null"
"607","Ross Ohlendorf",503556,"FF|SL","Swinging Strike","null","null"
"608","Ross Ohlendorf",503556,"SL|CH","Called Strike","null","null"
"610","Ross Ohlendorf",514888,"FF|FF","Foul","null","null"
"611","Ross Ohlendorf",514888,"FF|FF","Foul","null","null"
"615","Ross Ohlendorf",514888,"FF|SL","In play, no out","74","16.94"
"621","Ross Ohlendorf",460576,"FF|FF","In play, run(s)","94.2","16.18"
"622","Ross Ohlendorf",460576,"FF|SL","Swinging Strike","null","null"
"625","Ross Ohlendorf",519445,"FF|FF","Called Strike","null","null"
"627","Ross Ohlendorf",594828,"SL|FF","Foul","null","null"
"628","Ross Ohlendorf",594828,"FF|FF","In play, out(s)","null","null"
"630","Ross Ohlendorf",605480,"FF|FF","In play, out(s)","85.3","-12.52"
"632","Ross Ohlendorf",605480,"CH|FF","Foul","null","null"
"634","Ross Ohlendorf",571871,"FF|FF","Foul","null","null"
"636","Ross Ohlendorf",571871,"SL|FF","Foul","null","null"
"638","Ross Ohlendorf",571871,"SL|FF","Called Strike","null","null"
"639","Ross Ohlendorf",571871,"FF|SL","Foul","null","null"
"640","Ross Ohlendorf",571871,"SL|FF","In play, out(s)","73.2","10.6"
"643","Ross Ohlendorf",542255,"SL|CH","Foul","null","null"
"644","Ross Ohlendorf",542255,"CH|FF","In play, out(s)","35.8","-9.81"
"645","Ross Ohlendorf",542255,"FF|CH","Called Strike","null","null"
"646","Ross Ohlendorf",542255,"CH|FF","Foul","null","null"
"649","Ross Ohlendorf",518692,"FF|CH","Called Strike","null","null"
"651","Ross Ohlendorf",518692,"FT|FF","Called Strike","null","null"
"652","Ross Ohlendorf",518692,"FF|CH","Foul","null","null"
"654","Ross Ohlendorf",611177,"FF|SL","Foul","null","null"
"656","Ross Ohlendorf",611177,"FF|CH","Swinging Strike","null","null"
"658","Ross Ohlendorf",611177,"SL|FF","Foul","null","null"
"659","Ross Ohlendorf",611177,"FF|CH","Foul","null","null"
"660","Ross Ohlendorf",611177,"CH|SL","Swinging Strike (Blocked)","null","null"
"661","Ross Ohlendorf",611177,"SL|FF","Called Strike","null","null"
"663","Ross Ohlendorf",611177,"FF|FF","In play, run(s)","104","22.82"
"665","Ross Ohlendorf",611177,"SL|FF","Foul","null","null"
"666","Ross Ohlendorf",611177,"FF|SL","Foul","null","null"
"673","Ross Ohlendorf",430947,"FF|FF","Foul","null","null"
"678","Ross Ohlendorf",425796,"FF|FF","Called Strike","null","null"
"680","Ross Ohlendorf",542255,"SL|FF","Foul","null","null"
"681","Ross Ohlendorf",542255,"FF|FF","Foul","null","null"
"682","Ross Ohlendorf",542255,"FF|FF","Foul","null","null"
"683","Ross Ohlendorf",542255,"FF|FF","Foul","null","null"
"684","Ross Ohlendorf",542255,"FF|SL","In play, out(s)","null","null"
"686","Ross Ohlendorf",605480,"FF|FF","In play, out(s)","74.4","8.28"
"689","Ross Ohlendorf",475174,"FF|FF","Foul","null","null"
"690","Ross Ohlendorf",475174,"FF|FF","In play, no out","100.1","5.58"
"692","Ross Ohlendorf",475174,"SL|FF","Called Strike","null","null"
"693","Ross Ohlendorf",475174,"FF|FF","Foul","null","null"
"699","Ross Ohlendorf",456714,"FF|SL","Swinging Strike (Blocked)","null","null"
"701","Ross Ohlendorf",456714,"FF|FF","Foul","null","null"
"703","Ross Ohlendorf",649557,"FF|FF","Foul","null","null"
"706","Ross Ohlendorf",407812,"FF|FF","Foul","null","null"
"708","Ross Ohlendorf",407812,"FF|CH","Foul","null","null"
"711","Ross Ohlendorf",576397,"FF|FF","Foul","null","null"
"713","Ross Ohlendorf",576397,"CH|SL","Swinging Strike","null","null"
"715","Ross Ohlendorf",572039,"FF|FT","Foul","null","null"
"717","Ross Ohlendorf",572039,"FF|FF","In play, out(s)","90.7","-7.04"
"718","Ross Ohlendorf",572039,"FF|CH","Swinging Strike","null","null"
"720","Ross Ohlendorf",572039,"SL|CH","Foul","null","null"
"722","Ross Ohlendorf",461235,"FF|FT","Swinging Strike","null","null"
"723","Ross Ohlendorf",461235,"FT|FF","Swinging Strike","null","null"
"726","Ross Ohlendorf",425877,"FF|FF","Foul","null","null"
"727","Ross Ohlendorf",425877,"FF|FF","In play, run(s)","95","15.78"
"729","Ross Ohlendorf",572761,"FF|FF","In play, no out","99.3","21.51"
"731","Ross Ohlendorf",572761,"FF|CH","Called Strike","null","null"
"733","Ross Ohlendorf",572191,"FF|SL","In play, no out","104.9","17.66"
"734","Ross Ohlendorf",572191,"SL|FF","Called Strike","null","null"
"735","Ross Ohlendorf",572191,"FF|FF","Swinging Strike","null","null"
"738","Ross Ohlendorf",547180,"FF|FF","Called Strike","null","null"
"739","Ross Ohlendorf",547180,"FF|FF","In play, out(s)","79.7","20.23"
"741","Ross Ohlendorf",502517,"FT|FF","Called Strike","null","null"
"742","Ross Ohlendorf",502517,"FF|FF","In play, out(s)","null","null"
"745","Ross Ohlendorf",519184,"FF|FF","Called Strike","null","null"
"746","Ross Ohlendorf",519184,"FF|CH","In play, out(s)","78.5","-13.73"
"748","Ross Ohlendorf",543685,"FF|FF","In play, out(s)","92.4","25.1"
"752","Ross Ohlendorf",457787,"CH|FF","In play, run(s)","106.9","23.43"
"757","Ross Ohlendorf",452220,"FF|FF","Swinging Strike","null","null"
"761","Ross Ohlendorf",519184,"FF|FF","Called Strike","null","null"
"762","Ross Ohlendorf",519184,"FF|FF","In play, out(s)","91.9","26.89"
"764","Ross Ohlendorf",448602,"CH|FF","In play, out(s)","88.9","33.57"
"765","Ross Ohlendorf",448602,"FF|FF","Called Strike","null","null"
"767","Ross Ohlendorf",448602,"FF|FF","Swinging Strike","null","null"
"769","Ross Ohlendorf",596115,"FF|CH","In play, no out","108.5","13.16"
"773","Ross Ohlendorf",572863,"SL|FF","Foul","null","null"
"774","Ross Ohlendorf",572863,"FF|FF","Called Strike","null","null"
"775","Ross Ohlendorf",572863,"FF|SL","Foul (Runner Going)","null","null"
"778","Ross Ohlendorf",572863,"FF|SL","Foul","null","null"
"779","Ross Ohlendorf",572863,"SL|CH","Swinging Strike","null","null"
"781","Ross Ohlendorf",572863,"FF|SL","Foul","null","null"
"784","Ross Ohlendorf",430605,"SL|FF","Foul","null","null"
"785","Ross Ohlendorf",430605,"FF|SL","Swinging Strike (Blocked)","null","null"
"787","Ross Ohlendorf",453568,"FF|CH","Called Strike","null","null"
"788","Ross Ohlendorf",453568,"CH|FF","Swinging Strike","null","null"
"790","Ross Ohlendorf",431094,"FF|SL","Called Strike","null","null"
"793","Ross Ohlendorf",570717,"FF|FF","Foul","null","null"
"794","Ross Ohlendorf",570717,"FF|FF","Foul","null","null"
"795","Ross Ohlendorf",570717,"FF|FF","Called Strike","null","null"
"796","Ross Ohlendorf",570717,"FF|FF","Called Strike","null","null"
"798","Ross Ohlendorf",570717,"SL|FF","Foul","null","null"
"799","Ross Ohlendorf",570717,"FF|FF","In play, no out","95.2","5.78"
"802","Ross Ohlendorf",543590,"FF|FF","Called Strike","null","null"
"804","Ross Ohlendorf",543590,"FT|FF","Swinging Strike","null","null"
"806","Ross Ohlendorf",502100,"FT|FF","Called Strike","null","null"
"807","Ross Ohlendorf",502100,"FF|FF","In play, out(s)","82.9","35.5"
"808","Ross Ohlendorf",502100,"FF|FF","Called Strike","null","null"
"812","Ross Ohlendorf",572122,"CH|FF","Called Strike","null","null"
"817","Ross Ohlendorf",443558,"FF|FF","In play, out(s)","78.2","-19.75"
"821","Ross Ohlendorf",429664,"CH|FF","Foul","null","null"
"822","Ross Ohlendorf",429664,"FF|FF","Foul","null","null"
"823","Ross Ohlendorf",429664,"FF|FF","Foul","null","null"
"824","Ross Ohlendorf",429664,"FF|SL","In play, out(s)","89.9","7.08"
"826","Ross Ohlendorf",608070,"CH|FF","Foul","null","null"
"827","Ross Ohlendorf",608070,"FF|FF","In play, out(s)","48","40.92"
"828","Ross Ohlendorf",608070,"FF|FT","Called Strike","null","null"
"831","Ross Ohlendorf",543228,"FF|SL","Called Strike","null","null"
"832","Ross Ohlendorf",543228,"SL|SL","Swinging Strike (Blocked)","null","null"
"835","Ross Ohlendorf",407781,"SL|SL","Called Strike","null","null"
"836","Ross Ohlendorf",407781,"SL|SL","Swinging Strike (Blocked)","null","null"
"838","Ross Ohlendorf",492841,"FF|FF","Foul","null","null"
