"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"1978","Tyler Chatwood",425834,"CH|FC","Swinging Strike","null","null"
"1980","Tyler Chatwood",493351,"FC|FT","Foul","null","null"
"1981","Tyler Chatwood",493351,"FT|FT","In play, out(s)","98.1","-13.07"
"1985","Tyler Chatwood",542194,"FC|FT","Foul","null","null"
"1987","Tyler Chatwood",542194,"FT|FC","Swinging Strike","null","null"
"1989","Tyler Chatwood",457789,"FF|FF","Called Strike","null","null"
"1990","Tyler Chatwood",457789,"FF|FT","Foul","null","null"
"1992","Tyler Chatwood",457789,"FT|FF","In play, out(s)","89","-5.44"
"1994","Tyler Chatwood",570714,"FF|FF","Swinging Strike","null","null"
"1995","Tyler Chatwood",570714,"FF|FF","Called Strike","null","null"
"1998","Tyler Chatwood",445055,"FF|CU","Called Strike","null","null"
"2002","Tyler Chatwood",461314,"FT|FT","Called Strike","null","null"
"2006","Tyler Chatwood",477165,"CU|FF","Called Strike","null","null"
"2007","Tyler Chatwood",477165,"FF|FF","In play, out(s)","66.1","14.68"
"2010","Tyler Chatwood",493351,"FC|FC","Swinging Strike","null","null"
"2014","Tyler Chatwood",542194,"FC|FF","Called Strike","null","null"
"2015","Tyler Chatwood",542194,"FF|FC","In play, out(s)","68.5","-24.3"
"2017","Tyler Chatwood",542194,"FT|FT","Swinging Strike","null","null"
"2021","Tyler Chatwood",518466,"FC|FC","Called Strike","null","null"
"2024","Tyler Chatwood",518466,"FC|FT","Swinging Strike","null","null"
"2025","Tyler Chatwood",518466,"FT|FC","Swinging Strike","null","null"
"2027","Tyler Chatwood",445055,"CH|FF","Foul","null","null"
"2029","Tyler Chatwood",445055,"FF|FF","Foul","null","null"
"2031","Tyler Chatwood",445055,"FT|FF","Foul","null","null"
"2032","Tyler Chatwood",445055,"FF|FC","In play, out(s)","83","36.56"
"2034","Tyler Chatwood",477165,"FF|FT","In play, no out","100.4","24.27"
"2039","Tyler Chatwood",425834,"FC|FC","Swinging Strike","null","null"
"2042","Tyler Chatwood",493351,"FT|FT","Foul","null","null"
"2044","Tyler Chatwood",493351,"FC|FC","Called Strike","null","null"
"2045","Tyler Chatwood",493351,"FC|FC","In play, out(s)","69.6","-2.53"
"2048","Tyler Chatwood",457789,"FF|FF","Foul","null","null"
"2051","Tyler Chatwood",457789,"FF|FT","Called Strike","null","null"
"2052","Tyler Chatwood",457789,"FT|FT","Called Strike","null","null"
"2055","Tyler Chatwood",543105,"FC|FF","Foul","null","null"
"2056","Tyler Chatwood",543105,"FF|FF","Foul","null","null"
"2057","Tyler Chatwood",543105,"FF|FF","Foul","null","null"
"2059","Tyler Chatwood",543105,"FF|FF","In play, out(s)","78.4","50.5"
"2063","Tyler Chatwood",592273,"FC|FF","Called Strike","null","null"
"2064","Tyler Chatwood",592273,"FF|FF","Foul","null","null"
"2066","Tyler Chatwood",572008,"FC|FF","Called Strike","null","null"
"2067","Tyler Chatwood",572008,"FF|FT","In play, no out","104.1","18.16"
"2074","Tyler Chatwood",516416,"CU|FT","Foul","null","null"
"2075","Tyler Chatwood",516416,"FT|CU","Called Strike","null","null"
"2080","Tyler Chatwood",571875,"FT|FT","In play, out(s)","84.4","42.7"
"2083","Tyler Chatwood",502671,"FC|FC","Called Strike","null","null"
"2084","Tyler Chatwood",502671,"FC|FC","Called Strike","null","null"
"2092","Tyler Chatwood",502671,"FT|FT","Called Strike","null","null"
"2093","Tyler Chatwood",502671,"FT|FF","Called Strike","null","null"
"2098","Tyler Chatwood",444482,"FT|FT","Foul","null","null"
"2099","Tyler Chatwood",444482,"FT|FF","In play, out(s)","61.8","-2.55"
"2100","Tyler Chatwood",444482,"FF|FT","Foul","null","null"
"2101","Tyler Chatwood",444482,"FT|FC","Foul","null","null"
"2104","Tyler Chatwood",630111,"FC|FT","In play, no out","null","null"
"2107","Tyler Chatwood",456078,"FT|FC","In play, out(s)","90.3","55.25"
"2113","Tyler Chatwood",592273,"FC|FT","Called Strike","null","null"
"2114","Tyler Chatwood",592273,"FT|FT","In play, out(s)","83.6","66.41"
"2119","Tyler Chatwood",444482,"FF|FF","Foul","null","null"
"2121","Tyler Chatwood",456078,"FF|FC","Foul","null","null"
"2123","Tyler Chatwood",456078,"FT|FF","Called Strike","null","null"
"2124","Tyler Chatwood",456078,"FF|FF","In play, no out","75.6","22.54"
"2126","Tyler Chatwood",572008,"FC|FT","Foul","null","null"
"2129","Tyler Chatwood",572008,"CU|FF","In play, no out","105.3","21.91"
"2131","Tyler Chatwood",516416,"FC|FT","In play, out(s)","88.7","55.48"
"2132","Tyler Chatwood",516416,"FT|FT","Called Strike","null","null"
"2134","Tyler Chatwood",516416,"FC|FT","Swinging Strike","null","null"
"2136","Tyler Chatwood",571875,"FT|FF","Swinging Strike","null","null"
"2137","Tyler Chatwood",571875,"FF|FF","Foul","null","null"
"2146","Tyler Chatwood",444482,"FF|FT","Foul","null","null"
"2147","Tyler Chatwood",444482,"FT|FT","In play, no out","103.2","1.17"
"2151","Tyler Chatwood",630111,"FC|FT","In play, out(s)","null","null"
"2153","Tyler Chatwood",456078,"FT|FT","Foul","null","null"
"2154","Tyler Chatwood",456078,"FT|FC","Foul","null","null"
"2155","Tyler Chatwood",456078,"FC|FC","Swinging Strike","null","null"
