pitch_type,player_name,batter
FT,Doug Fister,443558
FT,Doug Fister,443558
FT,Doug Fister,572122
FF,Doug Fister,452252
CU,Doug Fister,452252
FT,Doug Fister,452252
CU,Doug Fister,547982
FT,Doug Fister,547982
CU,Doug Fister,547982
CU,Doug Fister,547982
FT,Doug Fister,547982
FF,Doug Fister,547982
CH,Doug Fister,547982
FT,Doug Fister,572287
FT,Doug Fister,572287
FT,Doug Fister,572287
FF,Doug Fister,572287
FT,Doug Fister,606466
CU,Tommy Layne,598265
CU,Tommy Layne,598265
IN,Tommy Layne,431094
IN,Tommy Layne,431094
IN,Tommy Layne,431094
IN,Tommy Layne,431094
SL,Tommy Layne,643217
CU,Tommy Layne,643217
CU,Joe Kelly,516770
CU,Joe Kelly,516770
FF,Joe Kelly,516770
FF,Joe Kelly,544369
FF,Joe Kelly,544369
CU,Joe Kelly,544369
FF,Joe Kelly,407893
CU,Joe Kelly,407893
FT,Cole Hamels,542340
FT,Cole Hamels,460075
FC,Cole Hamels,460075
CU,Cole Hamels,460075
FT,Cole Hamels,460075
FT,Cole Hamels,460075
FT,Cole Hamels,460075
CU,Cole Hamels,541650
CU,Cole Hamels,541650
FT,Cole Hamels,541650
FT,Cole Hamels,444489
FT,Cole Hamels,444489
FT,Cole Hamels,444489
FC,Cole Hamels,606115
FT,Cole Hamels,606115
FF,Cole Hamels,606115
FT,Cole Hamels,455117
FF,Cole Hamels,455117
FF,Cole Hamels,592680
FF,Cole Hamels,592680
FF,Cole Hamels,542340
CH,Cole Hamels,570267
CH,Cole Hamels,570267
FC,Cole Hamels,570267
CH,Cole Hamels,570267
CU,Cole Hamels,570267
CH,Cole Hamels,570267
FT,Cole Hamels,570267
CU,Cole Hamels,570267
FC,Cole Hamels,460075
FF,Cole Hamels,460075
CH,Cole Hamels,460075
FF,Cole Hamels,460075
FF,Cole Hamels,474892
CH,Cole Hamels,474892
CU,Cole Hamels,474892
CH,Cole Hamels,444489
CH,Cole Hamels,444489
FF,Cole Hamels,606115
CH,Cole Hamels,606115
CH,Cole Hamels,606115
CU,Cole Hamels,606115
FF,Cole Hamels,606115
CH,Cole Hamels,455117
FC,Cole Hamels,455117
FT,Cole Hamels,455117
CH,Cole Hamels,592680
FT,Cole Hamels,592680
CU,Cole Hamels,592680
CU,Cole Hamels,542340
CH,Cole Hamels,542340
FT,Cole Hamels,542340
FF,Cole Hamels,542340
FF,Cole Hamels,542340
CH,Cole Hamels,570267
CU,Cole Hamels,570267
CH,Cole Hamels,570267
FF,Cole Hamels,460075
FT,Cole Hamels,460075
FT,Cole Hamels,460075
CU,Cole Hamels,460075
CU,Cole Hamels,474892
FT,Cole Hamels,474892
CU,Cole Hamels,474892
CH,Cole Hamels,541650
CH,Cole Hamels,541650
CU,Cole Hamels,541650
FF,Cole Hamels,541650
CH,Cole Hamels,444489
FF,Cole Hamels,444489
CH,Cole Hamels,606115
FF,Cole Hamels,606115
CU,Cole Hamels,606115
CH,Cole Hamels,606115
FF,Cole Hamels,606115
FF,Cole Hamels,606115
FF,Cole Hamels,606115
CU,Cole Hamels,606115
CH,Cole Hamels,455117
CU,Cole Hamels,455117
FT,Cole Hamels,455117
CU,Cole Hamels,455117
FT,Cole Hamels,455117
FF,Cole Hamels,455117
CH,Cole Hamels,592680
FT,Cole Hamels,592680
FT,Cole Hamels,592680
FF,Cole Hamels,592680
FF,Cole Hamels,592680
CU,Cole Hamels,542340
CH,Cole Hamels,542340
CU,Cole Hamels,542340
FC,Cole Hamels,542340
FT,Cole Hamels,542340
SI,Jeanmar Gomez,547004
SI,Jeanmar Gomez,547004
CH,Jeanmar Gomez,466988
SI,Jeanmar Gomez,461314
CH,Jeanmar Gomez,452095
SI,Jeanmar Gomez,452095
SI,Jeanmar Gomez,452095
CH,Cole Hamels,474892
FT,Cole Hamels,474892
FF,Cole Hamels,474892
FF,Doug Fister,493114
FF,Doug Fister,493114
FF,Cole Hamels,541650
FF,Cole Hamels,541650
CH,Cole Hamels,541650
FT,Cole Hamels,541650
FT,Cole Hamels,570267
CH,Cole Hamels,570267
FC,Cole Hamels,570267
FF,Cole Hamels,570267
FT,Cole Hamels,570267
FF,Cole Hamels,570267
SL,Tommy Layne,431094
FF,Tommy Layne,431094
SL,Tommy Layne,431094
FT,Tommy Layne,598265
FT,Tommy Layne,598265
FT,Tommy Layne,598265
FT,Tommy Layne,643217
FT,Tommy Layne,643217
CU,Tommy Layne,643217
SL,Tommy Layne,643217
CU,Tommy Layne,643217
CU,Tommy Layne,643217
SL,Kevin Gausman,485567
FT,Kevin Gausman,485567
FT,Kevin Gausman,485567
FT,Kevin Gausman,485567
FT,Kevin Gausman,485567
FF,Kevin Gausman,485567
FS,Kevin Gausman,485567
FF,Kevin Gausman,518626
SL,Kevin Gausman,518626
FF,Kevin Gausman,518626
